"Gene"
"GADD45G; growth arrest and DNA damage inducible gamma [KO:K04402]"
"GCK; glucokinase [KO:K12407] [EC:2.7.1.2]"
"GLI1; GLI family zinc finger 1 [KO:K16797]"
"GLI2; GLI family zinc finger 2 [KO:K16798]"
"GLI3; GLI family zinc finger 3 [KO:K06230]"
"GLS; glutaminase [KO:K01425] [EC:3.5.1.2]"
"GLS; glutaminase kidney isoform"
"GLS2; glutaminase 2 [KO:K01425] [EC:3.5.1.2]"
"GLS2; glutaminase liver isoform"
"GNA11; G protein subunit alpha 11 [KO:K04635]"
"GNA12; G protein subunit alpha 12 [KO:K04346]"
"GNA13; G protein subunit alpha 13 [KO:K04639]"
"GNAI1; G protein subunit alpha i1 [KO:K04630]"
"GNAI2; G protein subunit alpha i2 [KO:K04630]"
"GNAI3; G protein subunit alpha i3 [KO:K04630]"
"GNAQ; G protein subunit alpha q [KO:K04634]"
"GNAS; GNAS complex locus [KO:K04632]"
"GNB1; G protein subunit beta 1 [KO:K04536]"
"GNB2; G protein subunit beta 2 [KO:K04537]"
"GNB3; G protein subunit beta 3 [KO:K07825]"
"GNB4; G protein subunit beta 4 [KO:K04538]"
"GNB5; G protein subunit beta 5 [KO:K04539]"
"GNG10; G protein subunit gamma 10 [KO:K04545]"
"GNG11; G protein subunit gamma 11 [KO:K04546]"
"GNG12; G protein subunit gamma 12 [KO:K04347]"
"GNG13; G protein subunit gamma 13 [KO:K04547]"
"GNG2; G protein subunit gamma 2 [KO:K07826]"
"GNG3; G protein subunit gamma 3 [KO:K04540]"
"GNG4; G protein subunit gamma 4 [KO:K04541]"
"GNG5; G protein subunit gamma 5 [KO:K04542]"
"GNG7; G protein subunit gamma 7 [KO:K04543]"
"GNG8; G protein subunit gamma 8 [KO:K04544]"
"GNGT1; G protein subunit gamma transducin 1 [KO:K04548]"
"GNGT2; G protein subunit gamma transducin 2 [KO:K04549]"
"GPC1; glypican 1 [KO:K08107]"
"GPC3; glypican 3 [KO:K08109]"
"GPCPD1; glycerophosphocholine phosphodiesterase 1 [KO:K18695] [EC:3.1.4.2]"
"GRB2; growth factor receptor bound protein 2 [KO:K04364]"
"GRB2; growth factor receptor-bound protein 2 isoform 1 [KO:K04364]"
"GRIA3; glutamate ionotropic receptor AMPA type subunit 3 [KO:K05199]"
"GRM1; glutamate metabotropic receptor 1 [KO:K04603]"
"GRM5; glutamate metabotropic receptor 5 [KO:K04604]"
"GSK3B; glycogen synthase kinase 3 beta [KO:K03083] [EC:2.7.11.26]"
"GSTA1; glutathione S-transferase alpha 1 [KO:K00799] [EC:2.5.1.18]"
"GSTA2; glutathione S-transferase alpha 2 [KO:K00799] [EC:2.5.1.18]"
"GSTA3; glutathione S-transferase alpha 3 [KO:K00799] [EC:2.5.1.18]"
"GSTA4; glutathione S-transferase alpha 4 [KO:K00799] [EC:2.5.1.18]"
"GSTA5; glutathione S-transferase alpha 5 [KO:K00799] [EC:2.5.1.18]"
"GSTM1; glutathione S-transferase mu 1 [KO:K00799] [EC:2.5.1.18]"
"GSTM2; glutathione S-transferase mu 2 [KO:K00799] [EC:2.5.1.18]"
"GSTM3; glutathione S-transferase mu 3 [KO:K00799] [EC:2.5.1.18]"
