"Gene","TargetID","GeneName","Score"
"KCNE2","ENSG00000159197","potassium voltage-gated channel subfamily E regulatory subunit 2",0.258037620476338
"AGTR1","ENSG00000144891","angiotensin II receptor type 1",0.257089910364682
"WDR12","ENSG00000138442","WD repeat domain 12",0.256797359715603
"FECH","ENSG00000066926","ferrochelatase",0.25574734713123
"CNNM2","ENSG00000148842","cyclin and CBS domain divalent metal cation transport mediator 2",0.253477674008514
"ANKRD36C","ENSG00000174501","ankyrin repeat domain 36C",0.252869368643534
"ARL14EP","ENSG00000152219","ARF like GTPase 14 effector protein",0.25154833648238
"MAP4K4","ENSG00000071054","mitogen-activated protein kinase kinase kinase kinase 4",0.251408300189337
"RBFOX1","ENSG00000078328","RNA binding fox-1 homolog 1",0.250783016222365
"MAD1L1","ENSG00000002822","mitotic arrest deficient 1 like 1",0.249007003039069
"EHBP1L1","ENSG00000173442","EH domain binding protein 1 like 1",0.249005346130179
"PLB1","ENSG00000163803","phospholipase B1",0.245858043110514
"WWP2","ENSG00000198373","WW domain containing E3 ubiquitin protein ligase 2",0.24581929466951
"GBA2","ENSG00000070610","glucosylceramidase beta 2",0.243976001151655
"CACNA1H","ENSG00000196557","calcium voltage-gated channel subunit alpha1 H",0.243708916879599
"ARID4A","ENSG00000032219","AT-rich interaction domain 4A",0.242641757292097
"SAYSD1","ENSG00000112167","SAYSVFN motif domain containing 1",0.241262039361408
"INPP5B","ENSG00000204084","inositol polyphosphate-5-phosphatase B",0.235753204139613
"TTC34","ENSG00000215912","tetratricopeptide repeat domain 34",0.235150517778314
"MADD","ENSG00000110514","MAP kinase activating death domain",0.234710652811584
"CUL3","ENSG00000036257","cullin 3",0.234710563815733
"NEDD1","ENSG00000139350","NEDD1 gamma-tubulin ring complex targeting factor",0.234681425384614
"RIMS1","ENSG00000079841","regulating synaptic membrane exocytosis 1",0.234205360055856
"BAZ2B","ENSG00000123636","bromodomain adjacent to zinc finger domain 2B",0.233569214057172
"MPLKIP","ENSG00000168303","M-phase specific PLK1 interacting protein",0.232513347874295
"ARMS2","ENSG00000254636","age-related maculopathy susceptibility 2",0.231039506815447
"MMP16","ENSG00000156103","matrix metallopeptidase 16",0.229342420047365
"HOXB4","ENSG00000182742","homeobox B4",0.228039641905071
"SLC5A3","ENSG00000198743","solute carrier family 5 member 3",0.226263808848423
"HMGA2","ENSG00000149948","high mobility group AT-hook 2",0.226259746916613
"TMPO","ENSG00000120802","thymopoietin",0.225594368644651
"SOX2","ENSG00000181449","SRY-box transcription factor 2",0.225528593133003
"INTS7","ENSG00000143493","integrator complex subunit 7",0.225423780692811
"RIN2","ENSG00000132669","Ras and Rab interactor 2",0.224588226494979
"TSPYL5","ENSG00000180543","TSPY like 5",0.22154644735201
"DDI1","ENSG00000170967","DDI proteasomal shuttling factor 1",0.221384470497716
"SLC9B1","ENSG00000164037","solute carrier family 9 member B1",0.220753275696059
"GALNT13","ENSG00000144278","polypeptide N-acetylgalactosaminyltransferase 13",0.21935816274003
"CEP57L1","ENSG00000183137","centrosomal protein 57 like 1",0.218690715887281
"INSC","ENSG00000188487","INSC spindle orientation adaptor protein",0.216330329490821
"BMP2","ENSG00000125845","bone morphogenetic protein 2",0.215092750214937
"RMI1","ENSG00000178966","RecQ mediated genome instability 1",0.214881120725041
"CDKN2B","ENSG00000147883","cyclin dependent kinase inhibitor 2B",0.213547945256267
"ARHGEF16","ENSG00000130762","Rho guanine nucleotide exchange factor 16",0.212360733573721
"ASCC2","ENSG00000100325","activating signal cointegrator 1 complex subunit 2",0.210281599271743
"SKOR2","ENSG00000215474","SKI family transcriptional corepressor 2",0.209964810390009
"TGFB1","ENSG00000105329","transforming growth factor beta 1",0.209238330483308
"UVSSA","ENSG00000163945","UV stimulated scaffold protein A",0.205496794624992
"CTAGE1","ENSG00000212710","cutaneous T cell lymphoma-associated antigen 1",0.203975163833426
